url,policy,min_source_score,require_independent_domains,min_overlap,claim_index,claim_text,baseline_verdict,baseline_conf,adjusted_verdict,adjusted_conf,distinct_base_domains,strong_domains,reason
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P0_loose,30,False,4,1,"CO2 and other greenhouse gases like methane and nitrous oxide are emitted when we burn fossil fuels, produce materials such as steel, cement, and plastics, and grow the food we eat.",NEI,0.56,SUPPORTED,0.79,4,ourworldindata.org,"Credible, independent sources show strong claim overlap."
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P0_loose,30,False,4,2,Emissions from food alone could use up all of our budget for 1.5°C or 2°C – but we have a range of opportunities to avoid this,NEI,0.56,NEI,0.66,4,,Not enough strong independent credible evidence after filtering.
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P0_loose,30,False,4,3,"Many countries have decoupled economic growth from CO2 emissions, even if we take offshored production into account",NEI,0.56,NEI,0.65,4,,Not enough strong independent credible evidence after filtering.
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P1_default,50,True,6,1,"CO2 and other greenhouse gases like methane and nitrous oxide are emitted when we burn fossil fuels, produce materials such as steel, cement, and plastics, and grow the food we eat.",NEI,0.56,NEI,0.74,4,,Not enough strong independent credible evidence after filtering.
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P1_default,50,True,6,2,Emissions from food alone could use up all of our budget for 1.5°C or 2°C – but we have a range of opportunities to avoid this,NEI,0.56,NEI,0.63,4,,Not enough strong independent credible evidence after filtering.
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P1_default,50,True,6,3,"Many countries have decoupled economic growth from CO2 emissions, even if we take offshored production into account",NEI,0.56,NEI,0.61,4,,Not enough strong independent credible evidence after filtering.
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P2_strict,70,True,7,1,"CO2 and other greenhouse gases like methane and nitrous oxide are emitted when we burn fossil fuels, produce materials such as steel, cement, and plastics, and grow the food we eat.",SUPPORTED,0.75,SUPPORTED,0.79,4,"regulations.gov,ourworldindata.org","Credible, independent sources show strong claim overlap."
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P2_strict,70,True,7,2,Emissions from food alone could use up all of our budget for 1.5°C or 2°C – but we have a range of opportunities to avoid this,NEI,0.56,NEI,0.63,2,,Not enough strong independent credible evidence after filtering.
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P2_strict,70,True,7,3,"Many countries have decoupled economic growth from CO2 emissions, even if we take offshored production into account",NEI,0.56,NEI,0.59,2,,Not enough strong independent credible evidence after filtering.
https://ourworldindata.org/co2-and-greenhouse-gas-emissions,P3_very_strict,80,True,8,1,"CO2 and other greenhouse gases like methane and nitrous oxide are emitted when we burn fossil fuels, produce materials such as steel, cement, and plastics, and grow the food we eat.",SUPPORTED,0.75,NEI,0.74,3,,Not enough strong independent credible evidence after filtering.
